Volume of exports of major arms by region broken down by suppliers 1990-2023
Figures are in millions of SIPRI trend-indicator values (TIVs).
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For a list of states covered by each region see <https://www.sipri.org/databases/regional-coverage>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 13 Apr 2024 8:20:07 AM

,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,1990-2023,% of regional total
,UAE,,,,,,,,,,,,,,,,,15,,,,15,,,,,,,22,15,,,,,,67,0.1%
,Ukraine,,,,,,,,,,,,,,23,,,,,,,,,,,,,,8,36,64,8,19,,,158,0.1%
,United Kingdom,679,364,27,407,178,360,564,1282,721,41,187,41,20,3,40,38,60,,29,463,558,393,115,1002,767,758,825,938,320,157,143,172,526,482,12657,11%
,United States,1428,506,1823,2771,1128,1370,2631,2237,2257,1532,316,55,166,177,717,1628,1463,957,999,925,631,1444,1669,1792,3068,3190,2938,3943,4057,3894,2584,3676,6155,2685,66813,58%
,unknown supplier(s),,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,20,5,26,0%
,Yugoslavia,55,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502,0.4%
International organization,Regional total,0,3,0,14,49,11,0,0,1,39,30,18,0,0,2,1,118,1,0,420,0,0,22,5,24,3,21,25,21,70,465,240,240,0,1843,100%
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,0.1%
,Belgium,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,0.1%
,Czechia,,,,,,,,,,,,,,,,,,1,0,,,,,,,,12,12,,,,,,,25,1.4%
,Finland,,3,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,25,1.4%
,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,196,196,,686,37%
,Germany,,,,,49,,,,,18,,18,,,,,,,,,,,,,,,,,,,,,,,84,4.6%
,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,9,0.5%
,Italy,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,0.1%
,Russia,,,,,,,,,,,22,,,,,,58,,,,,,,,,,,,,,,,,,80,4.3%
,Slovakia,,,,8,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.7%
,South Africa,,,,,,8,,,1,7,7,,,,2,1,,,,,,,,5,16,3,,,,,,,,,49,2.7%
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,,,,,,26,1.4%
,UAE,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,7,0.4%
,Ukraine,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,58,3.1%
,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,44,44,,154,8.4%
,United States,,,,6,,,,,,14,,,,,,,,,,420,,,,,,,,,8,70,105,,,,623,34%
LDC (Least Dev. Country),Regional total,2548,1861,220,555,420,589,360,568,867,1121,913,1088,1154,688,1182,897,682,579,626,780,1287,2465,2068,1852,1051,1426,1521,1185,1256,1874,792,684,1008,691,36856,100%
,Albania,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,0%
,Armenia,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,4,0%
,Australia,,6,,,12,,,,,,,,,,0,49,,,,,,,,,,,,,,14,,21,,,102,0.3%
,Austria,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,1,,1,1,1,1,1,,8,0%
,Belarus,,,,8,,7,25,8,34,207,108,12,3,19,10,34,,4,51,14,145,30,28,66,8,54,93,17,17,62,36,34,36,,1168,3.2%
,Belgium,,,,,,,,,,,,,18,,,,,21,12,1,7,,,,,,0,,,,,,,,60,0.2%
,Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,14,,3,,,,,,,,,2,,18,0%
,Brazil,,,,,,,,,18,,,,,,,,,6,,,,14,10,27,3,,90,,45,,,,,,212,0.6%
,Bulgaria,,,,28,,,4,6,39,93,,,20,,19,68,,8,4,13,4,,13,8,4,15,0,6,7,10,,3,17,,390,1.1%
,Cambodia,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%
,Canada,6,,,,,,1,,2,,,,,,,,3,,,,,2,7,6,2,,12,2,5,3,1,2,8,4,65,0.2%
,China,335,289,126,336,133,331,132,266,156,168,59,55,42,206,95,62,253,141,77,91,76,454,635,965,352,707,606,429,304,758,99,167,411,115,9432,26%
,Croatia,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,10,0%
,Czechia,,,,,27,32,,7,7,46,65,,26,,,13,,27,32,17,2,,,30,,8,,,1,,11,4,,,354,1%
,Denmark,,,,,3,,,,,3,,,,,,,,,,,,,,,4,,,,,,,,,12,22,0.1%
,Egypt,9,,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,31,0.1%
,Eritrea,,,,,,,,,2,0,,,,,,,0,,,,,,,,,,,,,,,,,,2,0%
,Ethiopia,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0%
,European Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0%
,Finland,,,,,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0%
,France,6,30,6,2,17,6,31,,1,3,0,6,1,,,,1,,3,,11,11,37,12,25,44,73,20,24,58,11,38,12,136,623,1.7%
,Georgia,,,,,,,,,,46,69,,,,5,,,,,,,,,,,,,,,,,,,,120,0.3%
,Germany,5,6,7,,2,,,,6,,22,10,,1,1,,,0,,,,,,14,,4,4,,,2,,12,12,5,113,0.3%
,Ghana,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,19,0.1%
,Hungary,,,,3,,,,24,,,,,34,,,,,,,,,,,41,,,,,,,,,,,101,0.3%
,India,,,7,5,,,,,,,5,2,0,4,24,5,24,3,4,,5,3,,6,5,39,15,,,18,150,,,,322,0.9%
,Indonesia,,,,,,,,,,,,,,,,,,,,,,4,,,,,,9,,9,,17,,,39,0.1%
,Iran,,,,,,,,,,,,,,9,,2,15,,3,,,,,,,,,,,,,,,,29,0.1%
,Israel,,0,0,21,,,,,,,9,3,18,2,3,23,1,,9,13,3,46,,13,3,8,25,20,11,23,12,12,,11,291,0.8%
,Italy,,,,,,,,34,,,21,21,,,,10,29,35,35,20,59,56,36,17,38,12,9,22,45,38,,10,25,37,608,1.6%
,Jordan,,,,,,,,,,,,,,,,,,0,,,6,,,,,,,,,,,,,9,15,0%
,Kazakhstan,,,,,,,,,2,10,16,10,,,,,,,,,,,,,,,,,,,,,,,36,0.1%
,Kenya,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0%
,Kyrgyzstan,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0%
,Libya,16,,,,3,,,3,10,,,,9,,,,,,3,,,0,,,,,,,,,,,,,46,0.1%
,Libya HoR*,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,1,0%
,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,60,0.2%
,Luxembourg,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0%
,Malawi,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Malaysia,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,11,0%
,Moldova,,,,,,,,,,,6,37,60,13,,18,3,19,29,20,,,,,,,,,,,,,,,206,0.6%
,Netherlands,,,,,,1,,,,,,19,,,,11,,,,4,,,,,,,20,18,,,,20,14,,106,0.3%
,Nigeria,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2,3,,5,0%
,North Korea,,,,,,,,,,11,,38,19,,,,,,,7,6,,,,,,,,,,,,,,80,0.2%
,Norway,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,0%
,Oman,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%
,Pakistan,80,,,,,,,,,,,,,,9,6,,,,,,,,,,,,,,,,,,,95,0.3%
,Peru,,,,,,,,,,,,10,,,5,,,,,,,,,,,,,,,,,,,,15,0%
,Philippines,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,4,0%
,Poland,33,22,17,,48,3,,7,,47,2,19,32,,3,,,,,,0,,,,,,,,,6,,,,,239,0.6%
,Portugal,,,,1,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2,0%
,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,,1,,,15,0%
,Romania,,,,,,,,,,,3,,,,,3,,,,1,,,,0,,,,,,,,,,,7,0%
,Russia,,,16,89,66,113,63,95,495,269,335,574,764,278,948,518,217,182,44,92,345,1083,451,212,260,254,312,274,348,304,108,84,251,137,9580,26%
,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,1,,,,,3,5,,,,,,,,9,0%
,Serbia,,,,,,,20,5,,,,15,,,,,5,5,45,0,30,,15,10,,10,9,,27,,15,,,,211,0.6%
,Seychelles,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Singapore,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,2,0%
,Slovakia,,,,,17,,,7,,124,33,26,2,,,,3,6,9,,,,5,,2,,4,10,,1,1,,,,250,0.7%
,South Africa,,,,,4,8,1,1,2,,1,,4,2,3,3,18,13,7,15,34,4,19,18,26,8,19,6,7,16,3,13,17,11,279,0.8%
,South Korea,,,,,,,,25,,,10,180,,,,,,,,,,14,,,,,,,,85,8,,,,322,0.9%
,Soviet Union,1976,1446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3422,9.3%
,Spain,,4,,24,18,,,,,,8,4,,,,,,,1,13,,5,,12,,,13,13,,,2,13,39,13,179,0.5%
,Sri Lanka,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,8,0%
,Switzerland,24,,,,,,,,,,,,,,,,2,,,,,,1,7,17,9,,,,13,,,,,73,0.2%
,Taiwan,,,,,,,,,,,,,,,,,,,,16,,,,,,,,2,,,,,,,18,0%
,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,0%
,Turkiye,,,,,,,,0,,,,,,,,,,6,2,,,,5,3,,1,1,12,32,,8,59,94,104,327,0.9%
,UAE,2,,,,,,,,,,,,,,,,2,,,,,,,15,21,20,5,6,9,8,25,20,10,13,154,0.4%
,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4,0%
,Ukraine,,,,,17,69,79,14,70,82,61,37,81,136,37,26,64,75,140,142,287,222,395,133,128,28,124,60,,10,17,2,2,,2538,6.9%
,United Kingdom,13,2,11,,36,1,,2,,,,,16,13,16,,,,,,29,,1,9,,,1,2,,32,17,2,18,,220,0.6%
,United States,19,19,25,1,8,11,,46,14,,61,,5,,,19,16,22,79,291,228,502,409,225,131,198,74,259,296,387,264,107,18,5,3738,10%
,unknown supplier(s),6,2,3,20,,1,4,,1,2,9,12,0,6,4,8,8,0,36,9,7,1,4,,24,4,2,,4,5,1,37,21,74,316,0.9%
,Viet Nam,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,10,,,,,,24,0.1%
,Yugoslavia,17,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,0.1%
,Zambia,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0%
Middle East,Regional total,7335,6685,7260,9160,6992,6575,7247,7449,9092,6205,4139,2610,4059,2760,4750,6180,5769,4504,3826,3876,4678,5725,5838,7181,8301,9964,10225,10872,8920,9347,6222,7704,11500,7772,230722,100%
,Aruba,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0%
,Australia,,,,30,,,,0,4,,,,,,0,49,1,,,,,,,,,,40,,,60,,,,,184,0.1%
,Austria,5,,,,,,,0,11,10,,,79,,,,2,2,3,3,17,1,1,13,11,4,4,,,,,,,,165,0.1%
,Belarus,,,,,,,,,,,55,15,16,24,,,,,172,,137,45,28,,,14,28,,,,,,,,532,0.2%
,Belgium,,,,,,,,,22,13,11,31,14,15,47,28,7,10,112,98,3,110,21,21,10,2,3,,,55,24,26,23,8,714,0.3%
,Brazil,61,63,33,,,,,,,,,,,,,,,,,,,,,,,,11,15,18,,,,,,200,0.1%
,Bulgaria,,,53,,44,,,,,,,,,18,,,,,,,,,,,4,64,83,17,,,,,18,,301,0.1%
,Canada,7,7,71,71,59,58,57,28,26,24,24,7,5,7,20,0,9,14,16,9,12,58,59,53,69,137,42,19,85,188,101,88,87,29,1546,0.7%
,China,115,124,131,346,307,226,313,48,71,71,113,116,183,222,203,117,84,119,155,211,148,84,66,26,32,103,130,137,225,52,52,65,20,15,4428,1.9%
,Czechia,,,,163,150,7,1,1,,42,58,,22,,,,,,,,2,,,1,4,86,78,16,10,,,,,,640,0.3%
,Czechoslovakia,,281,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483,0.2%
,Denmark,,,,,,,,,,,,,,,,,,,,,,,9,,,5,5,,,,,,,,19,0%
,Egypt,16,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0%
,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,0%
,Finland,,,,,,,,,,,1,1,2,6,6,,68,,2,,3,,4,5,9,8,36,,,,,,,,150,0.1%
,France,874,341,169,106,102,296,458,543,718,679,492,334,760,644,1505,795,823,297,50,148,180,306,338,833,339,1235,1178,1088,708,1677,729,998,1055,720,21518,9.3%
,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,,,,,,,13,0%
,Germany,449,343,108,256,367,575,533,158,622,779,603,50,78,234,38,661,406,460,328,209,212,190,148,237,570,480,565,535,281,168,372,451,777,1255,13497,5.8%
,Greece,,,,,,,,,,,,,,,,13,23,,,,,,,,,,,,,,,,,,36,0%
,Hungary,,,,,,,,,,,,,,,,82,,9,,,,,,,,,,,,,,,,,91,0%
,Indonesia,,,,18,18,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,0%
,Iran,0,1,1,1,0,1,2,0,0,0,0,0,3,0,1,0,60,,60,65,65,103,30,15,52,15,5,15,,,0,,13,12,519,0.2%
,Israel,,,,,,,6,,,,,46,89,48,10,3,6,99,97,320,77,32,13,,25,71,,,,,,,,,941,0.4%
,Italy,20,26,14,9,15,38,58,52,10,5,10,24,98,15,6,35,36,86,85,101,58,61,227,398,174,325,317,319,201,180,580,1289,1363,885,7118,3.1%
,Jordan,,,,,,,,,,,,,,,43,22,,13,,28,34,,,,,8,1,,,80,,,,2,229,0.1%
,Libya,20,,,,,,,,,,,,,,,,18,,,18,18,,,,,,,,,,,,,,74,0%
,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,,30,0%
,Malta,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,10,0%
,Moldova,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0%
,Montenegro,,,,,,,,,,,,,,,,,71,109,,,,,,,,,,,,,,,,,180,0.1%
,Netherlands,147,66,27,18,24,29,262,275,258,36,22,,,,,27,59,67,39,82,13,101,147,140,204,129,112,287,126,18,,27,33,91,2864,1.2%
,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,0%
,North Korea,5,84,97,103,20,32,30,30,28,25,40,53,150,129,42,15,15,15,15,15,,,,,1,,,,,,,,,,940,0.4%
,Norway,,3,5,15,5,,,,,,,4,4,,,,,,,1,,8,,,,1,75,75,,,,5,5,,207,0.1%
,Oman,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,0%
,Pakistan,2,3,,,2,,,,,,,,1,,,18,4,,,,,,,,,,,2,,1,,,1,5,39,0%
,Poland,,,,,85,174,,,,,,19,20,,,3,63,23,,,,,,,3,,3,,2,,,,,,396,0.2%
,Qatar,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0%
,Romania,,,,16,24,,,,,,,,,,,,8,32,,,,,,,,,,,,,,,,,79,0%
,Russia,,,345,732,308,435,511,462,408,398,450,336,706,193,304,424,527,389,179,382,1382,1194,749,706,450,547,955,1467,1614,1301,614,39,,21,18525,8%
,Saudi Arabia,,,,,,,1,,,,,,,,,,,,,,1,62,,,,3,,,,,,,,,68,0%
,Serbia,,,,,,,,,,,,,,,,,,,,,1,4,,,,20,61,11,0,,,,,,97,0%
,Singapore,,,,,9,,,,,,,,,,,,,,,4,4,4,4,4,8,80,77,,,,,,,,192,0.1%
,Slovakia,,,,169,23,1,,,,,,,,,,,,,,,,,,1,0,3,4,,,7,10,,,,219,0.1%
,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,0%
,South Africa,,21,54,54,9,,28,,,,,,,33,47,,55,12,1,7,27,13,18,17,20,29,33,35,33,24,25,23,16,10,645,0.3%
,South Korea,,,,,,,,,,,,,,,69,107,104,104,104,130,161,190,183,144,6,6,326,173,9,6,6,9,3,17,1858,0.8%
,Soviet Union,1932,894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2826,1.2%
,Spain,,,27,54,54,81,81,90,81,,,,,13,13,,8,,,,,38,,233,315,180,202,185,190,209,30,,665,677,3422,1.5%
,Sweden,20,7,,,,5,11,8,8,,,,,,,,9,9,1,1,43,50,,73,218,66,11,10,3,,80,40,,,669,0.3%
,Switzerland,145,92,103,108,80,46,88,29,23,23,39,53,,,,,,,,10,40,120,45,,115,195,105,45,35,17,20,10,20,20,1625,0.7%
,Syria,,,40,40,,,0,0,,,,,,,,,3,,,30,30,,,,,,,,,,,,,,142,0.1%
,Turkiye,,,,,,,,,,41,16,,,,15,25,67,40,37,26,32,40,73,68,66,62,55,28,82,192,194,175,144,109,1588,0.7%
,UAE,,,,,,,,,,,,,,,3,11,15,3,,,39,,,33,35,117,54,65,61,45,161,36,1,1,680,0.3%
,Ukraine,,,,2,,21,,,52,27,20,132,130,63,23,48,55,75,35,41,39,59,125,56,,,,8,36,64,8,19,,,1137,0.5%
,United Kingdom,690,399,35,415,197,394,610,1328,890,213,420,290,279,139,122,57,74,19,43,477,572,393,115,1002,767,759,825,938,320,157,143,172,526,586,14365,6.2%
,United States,2764,3484,5748,6398,5052,4130,4179,4397,5862,3819,1764,1100,1421,958,2224,3639,3089,2499,2292,1462,1328,2456,3435,3089,4777,5207,4795,5377,4881,4847,3075,4232,6708,3302,123788,54%
,unknown supplier(s),,,,,0,,,0,,,,,0,,1,,,,,,1,2,1,1,2,1,3,,,,,,21,8,42,0%
,Yugoslavia,63,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511,0.2%
Middle East (no other region),Regional total,7335,6685,7260,9160,6992,6575,7247,7449,9092,6205,4139,2610,4059,2760,4750,6180,5769,4504,3826,3876,4678,5725,5838,7181,8301,9964,10225,10872,8920,9347,6222,7704,11500,7772,230722,100%
,Aruba,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0%
,Australia,,,,30,,,,0,4,,,,,,0,49,1,,,,,,,,,,40,,,60,,,,,184,0.1%
,Austria,5,,,,,,,0,11,10,,,79,,,,2,2,3,3,17,1,1,13,11,4,4,,,,,,,,165,0.1%
,Belarus,,,,,,,,,,,55,15,16,24,,,,,172,,137,45,28,,,14,28,,,,,,,,532,0.2%
,Belgium,,,,,,,,,22,13,11,31,14,15,47,28,7,10,112,98,3,110,21,21,10,2,3,,,55,24,26,23,8,714,0.3%
,Brazil,61,63,33,,,,,,,,,,,,,,,,,,,,,,,,11,15,18,,,,,,200,0.1%
,Bulgaria,,,53,,44,,,,,,,,,18,,,,,,,,,,,4,64,83,17,,,,,18,,301,0.1%
,Canada,7,7,71,71,59,58,57,28,26,24,24,7,5,7,20,0,9,14,16,9,12,58,59,53,69,137,42,19,85,188,101,88,87,29,1546,0.7%
,China,115,124,131,346,307,226,313,48,71,71,113,116,183,222,203,117,84,119,155,211,148,84,66,26,32,103,130,137,225,52,52,65,20,15,4428,1.9%
,Czechia,,,,163,150,7,1,1,,42,58,,22,,,,,,,,2,,,1,4,86,78,16,10,,,,,,640,0.3%
,Czechoslovakia,,281,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483,0.2%
,Denmark,,,,,,,,,,,,,,,,,,,,,,,9,,,5,5,,,,,,,,19,0%
,Egypt,16,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0%
,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,0%
,Finland,,,,,,,,,,,1,1,2,6,6,,68,,2,,3,,4,5,9,8,36,,,,,,,,150,0.1%
,France,874,341,169,106,102,296,458,543,718,679,492,334,760,644,1505,795,823,297,50,148,180,306,338,833,339,1235,1178,1088,708,1677,729,998,1055,720,21518,9.3%
,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,,,,,,,13,0%
,Germany,449,343,108,256,367,575,533,158,622,779,603,50,78,234,38,661,406,460,328,209,212,190,148,237,570,480,565,535,281,168,372,451,777,1255,13497,5.8%
,Greece,,,,,,,,,,,,,,,,13,23,,,,,,,,,,,,,,,,,,36,0%
,Hungary,,,,,,,,,,,,,,,,82,,9,,,,,,,,,,,,,,,,,91,0%
,Indonesia,,,,18,18,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,0%
,Iran,0,1,1,1,0,1,2,0,0,0,0,0,3,0,1,0,60,,60,65,65,103,30,15,52,15,5,15,,,0,,13,12,519,0.2%
,Israel,,,,,,,6,,,,,46,89,48,10,3,6,99,97,320,77,32,13,,25,71,,,,,,,,,941,0.4%
,Italy,20,26,14,9,15,38,58,52,10,5,10,24,98,15,6,35,36,86,85,101,58,61,227,398,174,325,317,319,201,180,580,1289,1363,885,7118,3.1%
,Jordan,,,,,,,,,,,,,,,43,22,,13,,28,34,,,,,8,1,,,80,,,,2,229,0.1%
,Libya,20,,,,,,,,,,,,,,,,18,,,18,18,,,,,,,,,,,,,,74,0%
,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,,30,0%
,Malta,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,10,0%
,Moldova,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0%
,Montenegro,,,,,,,,,,,,,,,,,71,109,,,,,,,,,,,,,,,,,180,0.1%
,Netherlands,147,66,27,18,24,29,262,275,258,36,22,,,,,27,59,67,39,82,13,101,147,140,204,129,112,287,126,18,,27,33,91,2864,1.2%
,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,0%
,North Korea,5,84,97,103,20,32,30,30,28,25,40,53,150,129,42,15,15,15,15,15,,,,,1,,,,,,,,,,940,0.4%
,Norway,,3,5,15,5,,,,,,,4,4,,,,,,,1,,8,,,,1,75,75,,,,5,5,,207,0.1%
,Oman,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,0%
,Pakistan,2,3,,,2,,,,,,,,1,,,18,4,,,,,,,,,,,2,,1,,,1,5,39,0%
,Poland,,,,,85,174,,,,,,19,20,,,3,63,23,,,,,,,3,,3,,2,,,,,,396,0.2%
,Qatar,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0%
,Romania,,,,16,24,,,,,,,,,,,,8,32,,,,,,,,,,,,,,,,,79,0%
,Russia,,,345,732,308,435,511,462,408,398,450,336,706,193,304,424,527,389,179,382,1382,1194,749,706,450,547,955,1467,1614,1301,614,39,,21,18525,8%
,Saudi Arabia,,,,,,,1,,,,,,,,,,,,,,1,62,,,,3,,,,,,,,,68,0%
,Serbia,,,,,,,,,,,,,,,,,,,,,1,4,,,,20,61,11,0,,,,,,97,0%
,Singapore,,,,,9,,,,,,,,,,,,,,,4,4,4,4,4,8,80,77,,,,,,,,192,0.1%
,Slovakia,,,,169,23,1,,,,,,,,,,,,,,,,,,1,0,3,4,,,7,10,,,,219,0.1%
,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,0%
,South Africa,,21,54,54,9,,28,,,,,,,33,47,,55,12,1,7,27,13,18,17,20,29,33,35,33,24,25,23,16,10,645,0.3%
,South Korea,,,,,,,,,,,,,,,69,107,104,104,104,130,161,190,183,144,6,6,326,173,9,6,6,9,3,17,1858,0.8%
,Soviet Union,1932,894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2826,1.2%
,Spain,,,27,54,54,81,81,90,81,,,,,13,13,,8,,,,,38,,233,315,180,202,185,190,209,30,,665,677,3422,1.5%
,Sweden,20,7,,,,5,11,8,8,,,,,,,,9,9,1,1,43,50,,73,218,66,11,10,3,,80,40,,,669,0.3%
,Switzerland,145,92,103,108,80,46,88,29,23,23,39,53,,,,,,,,10,40,120,45,,115,195,105,45,35,17,20,10,20,20,1625,0.7%
,Syria,,,40,40,,,0,0,,,,,,,,,3,,,30,30,,,,,,,,,,,,,,142,0.1%
,Turkiye,,,,,,,,,,41,16,,,,15,25,67,40,37,26,32,40,73,68,66,62,55,28,82,192,194,175,144,109,1588,0.7%
,UAE,,,,,,,,,,,,,,,3,11,15,3,,,39,,,33,35,117,54,65,61,45,161,36,1,1,680,0.3%
,Ukraine,,,,2,,21,,,52,27,20,132,130,63,23,48,55,75,35,41,39,59,125,56,,,,8,36,64,8,19,,,1137,0.5%
,United Kingdom,690,399,35,415,197,394,610,1328,890,213,420,290,279,139,122,57,74,19,43,477,572,393,115,1002,767,759,825,938,320,157,143,172,526,586,14365,6.2%
,United States,2764,3484,5748,6398,5052,4130,4179,4397,5862,3819,1764,1100,1421,958,2224,3639,3089,2499,2292,1462,1328,2456,3435,3089,4777,5207,4795,5377,4881,4847,3075,4232,6708,3302,123788,54%
,unknown supplier(s),,,,,0,,,0,,,,,0,,1,,,,,,1,2,1,1,2,1,3,,,,,,21,8,42,0%
,Yugoslavia,63,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511,0.2%
NAM,Regional total,15443,11509,6859,9657,9266,10272,10175,12918,9491,9230,7059,6470,7616,7906,8925,8897,10351,11486,11437,12744,14923,19804,17490,19618,17510,18463,21768,20488,17343,16252,12430,15470,18391,13324,440986,100%
,Albania,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,0%
,Angola,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,0%
,Argentina,6,,,13,4,5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,31,0%
,Armenia,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,4,0%
,Australia,144,72,,30,,,10,14,4,,,1,17,8,0,49,9,17,17,17,71,47,15,24,28,45,74,35,7,61,249,55,3,9,1130,0.3%
,Austria,5,,,,,,18,3,29,10,15,,79,,0,,2,2,4,6,23,9,4,13,13,8,4,2,3,1,4,3,3,10,270,0.1%
,Bahrain,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,0%
,Belarus,,,,8,,7,25,402,63,454,293,49,64,58,19,34,,4,222,14,153,98,97,99,101,128,152,51,79,84,59,57,58,15,2945,0.7%
,Belgium,1,1,,,,140,34,4,23,13,11,31,32,15,47,28,57,32,143,138,10,110,21,34,10,11,7,17,16,57,27,29,91,19,1207,0.3%
